# init_date: 2026-05-01
# valid_start: 2026-07-01
# valid_end: 2026-07-31
# forecast_source: seas5_operational_2026
# forecast_system_version: SEAS5
# n_ensemble_members: 25
# observation_dataset: chirps_obs
# climatology_period: obs_1993_2025
# index_definition: Rainfall total (mm): ensemble mean/median/sd/quantiles, anomaly vs. climatology
# bias_correction_method: QDM (applied upstream by data provider, prior to ingestion)
# processing_date: 2026-07-20T21:03:03.529270+00:00
# software_version: 0.1.0-phase1
# no_rain_threshold_mm: 1.0
# spatial_resolution_deg: 0.25
# ensemble_statistic: median
lat,lon,spatial_ref,clim_year,median
4.375,42.125,0,2026,0.0
4.375,42.375,0,2026,0.0
4.375,42.625,0,2026,0.0
4.375,42.875,0,2026,0.0
4.375,43.125,0,2026,
4.375,43.375,0,2026,
4.375,43.625,0,2026,
4.375,43.875,0,2026,
4.375,44.125,0,2026,
4.375,44.375,0,2026,
4.375,44.625,0,2026,
4.375,44.875,0,2026,
4.375,45.125,0,2026,
4.375,45.375,0,2026,
4.375,45.625,0,2026,
4.375,45.875,0,2026,
4.375,46.125,0,2026,
4.375,46.375,0,2026,
4.375,46.625,0,2026,
4.375,46.875,0,2026,
4.375,47.125,0,2026,
4.375,47.375,0,2026,
4.375,47.625,0,2026,
4.375,47.875,0,2026,
4.625,33.125,0,2026,
4.625,33.375,0,2026,
4.625,33.625,0,2026,
4.625,33.875,0,2026,
4.625,34.125,0,2026,
4.625,34.375,0,2026,
4.625,34.625,0,2026,
4.625,34.875,0,2026,
4.625,35.125,0,2026,
4.625,35.375,0,2026,
4.625,35.625,0,2026,
4.625,35.875,0,2026,1.0961409
4.625,36.125,0,2026,0.25429922
4.625,36.375,0,2026,0.03160527
4.625,36.625,0,2026,0.25739834
4.625,36.875,0,2026,0.09158845
4.625,37.125,0,2026,0.02019481
4.625,37.375,0,2026,0.00081743515
4.625,37.625,0,2026,0.14441691
4.625,37.875,0,2026,0.00260093
4.625,38.125,0,2026,0.086825065
4.625,38.375,0,2026,0.34875375
4.625,38.625,0,2026,1.5605954
4.625,38.875,0,2026,1.684998
4.625,39.125,0,2026,2.2791243
4.625,39.375,0,2026,2.328113
4.625,39.625,0,2026,1.9323618
4.625,39.875,0,2026,2.3194523
4.625,40.125,0,2026,1.7026619
4.625,40.375,0,2026,0.32814762
4.625,40.625,0,2026,0.1823481
4.625,40.875,0,2026,0.27041924
4.625,41.125,0,2026,1.5011709
4.625,41.375,0,2026,1.0147511
4.625,41.625,0,2026,0.0
4.625,41.875,0,2026,0.0
4.625,42.125,0,2026,0.0005722046
4.625,42.375,0,2026,0.00021052867
4.625,42.625,0,2026,0.0
4.625,42.875,0,2026,0.0
4.625,43.125,0,2026,0.0
4.625,43.375,0,2026,0.04454209
4.625,43.625,0,2026,
4.625,43.875,0,2026,
4.625,44.125,0,2026,
4.625,44.375,0,2026,
4.625,44.625,0,2026,
4.625,44.875,0,2026,
4.625,45.125,0,2026,
4.625,45.375,0,2026,
4.625,45.625,0,2026,
4.625,45.875,0,2026,
4.625,46.125,0,2026,
4.625,46.375,0,2026,
4.625,46.625,0,2026,
4.625,46.875,0,2026,
4.625,47.125,0,2026,
4.625,47.375,0,2026,
4.625,47.625,0,2026,
4.625,47.875,0,2026,
4.875,33.125,0,2026,
4.875,33.375,0,2026,
4.875,33.625,0,2026,
4.875,33.875,0,2026,
4.875,34.125,0,2026,
4.875,34.375,0,2026,
4.875,34.625,0,2026,
4.875,34.875,0,2026,
4.875,35.125,0,2026,
4.875,35.375,0,2026,
4.875,35.625,0,2026,
4.875,35.875,0,2026,2.152442
4.875,36.125,0,2026,0.9087933
4.875,36.375,0,2026,0.42351997
4.875,36.625,0,2026,0.38458896
4.875,36.875,0,2026,0.42735565
4.875,37.125,0,2026,0.28552136
4.875,37.375,0,2026,0.029671654
4.875,37.625,0,2026,0.13933143
4.875,37.875,0,2026,0.122477315
4.875,38.125,0,2026,0.12970418
4.875,38.375,0,2026,0.7603765
4.875,38.625,0,2026,1.4463083
4.875,38.875,0,2026,2.0152593
4.875,39.125,0,2026,1.5475092
4.875,39.375,0,2026,1.0567147
4.875,39.625,0,2026,1.6337525
4.875,39.875,0,2026,1.410765
4.875,40.125,0,2026,0.73218787
4.875,40.375,0,2026,0.09366004
4.875,40.625,0,2026,0.0039936616
4.875,40.875,0,2026,0.0
4.875,41.125,0,2026,0.07174996
4.875,41.375,0,2026,0.0
4.875,41.625,0,2026,0.0
4.875,41.875,0,2026,0.0
4.875,42.125,0,2026,0.0017166138
4.875,42.375,0,2026,0.0005722046
4.875,42.625,0,2026,0.0
4.875,42.875,0,2026,0.0
4.875,43.125,0,2026,0.0
4.875,43.375,0,2026,0.0
4.875,43.625,0,2026,0.10796752
4.875,43.875,0,2026,0.7042353
4.875,44.125,0,2026,1.5690802
4.875,44.375,0,2026,0.69459647
4.875,44.625,0,2026,0.0
4.875,44.875,0,2026,0.00027345674
4.875,45.125,0,2026,0.16571468
4.875,45.375,0,2026,
4.875,45.625,0,2026,
4.875,45.875,0,2026,
4.875,46.125,0,2026,
4.875,46.375,0,2026,
4.875,46.625,0,2026,
4.875,46.875,0,2026,
4.875,47.125,0,2026,
4.875,47.375,0,2026,
4.875,47.625,0,2026,
4.875,47.875,0,2026,
5.125,33.125,0,2026,
5.125,33.375,0,2026,
5.125,33.625,0,2026,
5.125,33.875,0,2026,
5.125,34.125,0,2026,
5.125,34.375,0,2026,
5.125,34.625,0,2026,
5.125,34.875,0,2026,
5.125,35.125,0,2026,
5.125,35.375,0,2026,
5.125,35.625,0,2026,
5.125,35.875,0,2026,4.4515743
5.125,36.125,0,2026,2.5234723
5.125,36.375,0,2026,1.928235
5.125,36.625,0,2026,2.107334
5.125,36.875,0,2026,1.16638
5.125,37.125,0,2026,0.92546576
5.125,37.375,0,2026,0.3827234
5.125,37.625,0,2026,0.17806607
5.125,37.875,0,2026,0.24604453
5.125,38.125,0,2026,0.70198476
5.125,38.375,0,2026,0.92020345
5.125,38.625,0,2026,1.741503
5.125,38.875,0,2026,2.271036
5.125,39.125,0,2026,1.7537094
5.125,39.375,0,2026,1.2043424
5.125,39.625,0,2026,0.8091296
5.125,39.875,0,2026,0.5217331
5.125,40.125,0,2026,1.0794753
5.125,40.375,0,2026,0.48263568
5.125,40.625,0,2026,0.456139
5.125,40.875,0,2026,0.1301722
5.125,41.125,0,2026,0.12626286
5.125,41.375,0,2026,0.0
5.125,41.625,0,2026,0.0005722046
5.125,41.875,0,2026,0.0
5.125,42.125,0,2026,0.0
5.125,42.375,0,2026,0.0
5.125,42.625,0,2026,0.16383928
5.125,42.875,0,2026,0.0
5.125,43.125,0,2026,0.0
5.125,43.375,0,2026,0.0
5.125,43.625,0,2026,0.0
5.125,43.875,0,2026,5.099111e-05
5.125,44.125,0,2026,0.0
5.125,44.375,0,2026,0.0
5.125,44.625,0,2026,0.0
5.125,44.875,0,2026,0.121664934
5.125,45.125,0,2026,0.0034332275
5.125,45.375,0,2026,0.053161252
5.125,45.625,0,2026,
5.125,45.875,0,2026,
5.125,46.125,0,2026,
5.125,46.375,0,2026,
5.125,46.625,0,2026,
5.125,46.875,0,2026,
5.125,47.125,0,2026,
5.125,47.375,0,2026,
5.125,47.625,0,2026,
5.125,47.875,0,2026,
5.375,33.125,0,2026,
5.375,33.375,0,2026,
5.375,33.625,0,2026,
5.375,33.875,0,2026,
5.375,34.125,0,2026,
5.375,34.375,0,2026,
5.375,34.625,0,2026,
5.375,34.875,0,2026,
5.375,35.125,0,2026,
5.375,35.375,0,2026,13.888916
5.375,35.625,0,2026,6.066793
5.375,35.875,0,2026,6.483658
5.375,36.125,0,2026,6.532919
